nr,bereich,title,path,lines,bytes,sha256,origin,status
1,Enterprise & Windows,Microsoft Excel – Premium-Spickzettel,01-Enterprise-Windows/Microsoft-Excel-Premium-Spickzettel.md,388,9890,3b63da39115c30e26a1b2360d10542f2870b976c45ae1ffb1d8952159dc66659,,fertig
2,Enterprise & Windows,Microsoft IIS – Premium-Spickzettel,01-Enterprise-Windows/Microsoft-IIS-Premium-Spickzettel.md,709,17426,809c3f6540500d75afb68c9caf83bde386bbc5f1eaed39d235df1a72c5f85236,Premium Spickzettel I – vollständig überarbeitet,fertig
3,Enterprise & Windows,Microsoft RPC-Verbindungen – Premium-Spickzettel,01-Enterprise-Windows/MS-RPC-Verbindungen-Premium-Spickzettel.md,343,10746,d56bf0d70defddad0802c08045ef7a72ae3a6599f7a5c62afbc69a0e614881e5,,fertig
4,Enterprise & Windows,Microsoft Visio – Premium-Spickzettel,01-Enterprise-Windows/Microsoft-Visio-Premium-Spickzettel.md,283,8874,1dfccd99323299f51f34e3a80bcd5c6767516d725dbff7164392f1fdd06f1156,,fertig
5,Enterprise & Windows,Microsoft Word – Premium-Spickzettel,01-Enterprise-Windows/Microsoft-Word-Premium-Spickzettel.md,291,8648,cade8ea3d2b19698b4dc84dfc65628792d02254aa770ddc0a8679e2ce803bc04,,fertig
6,Enterprise & Windows,OMNITRACKER – Premium-Spickzettel,01-Enterprise-Windows/OMNITRACKER-Premium-Spickzettel.md,349,13020,aed94a098e4a51a1fad6eb595d67fba447c6af6a521800d5d1ebda9cee9f5f91,,fertig
7,Enterprise & Windows,Windows Terminal – Premium-Spickzettel,01-Enterprise-Windows/Windows-Terminal-Premium-Spickzettel.md,374,9536,caa495396901da3eac4bed7f1fa5c1d3fc0ce25e56967fdd95e38deaf40e2f19,,fertig
8,"Versionierung, Entwicklung & Editoren",Flutter – Premium-Spickzettel,02-Versionierung-Entwicklung/Flutter-Premium-Spickzettel.md,434,10000,c2aa1ce5bee33a8778c6759b668f384f0949b85c675847a0f19df6855048eb43,,fertig
9,"Versionierung, Entwicklung & Editoren",Git – Premium-Spickzettel,02-Versionierung-Entwicklung/Git-Premium-Spickzettel.md,686,14659,8f4dbdcb9e01f3fb99bb3266b9e4eb4bb8fe3a9b3a559fc0cb5154ca14146875,,fertig
10,"Versionierung, Entwicklung & Editoren",GitHub – Premium-Spickzettel,02-Versionierung-Entwicklung/GitHub-Premium-Spickzettel.md,425,9805,7b17bd461e68ebaf8fc730f77d5b568d8955d4569181f3d3f783a7b0a956701e,,fertig
